team,avg_goals_scored,avg_goals_conceded
Togo,0.3333333333333333,2.0
Senegal,1.3076923076923077,1.5384615384615385
Soviet Union,1.7096774193548387,1.096774193548387
China PR,0.0,3.0
Iceland,0.6666666666666666,1.6666666666666667
Slovenia,0.8333333333333334,1.6666666666666667
Scotland,1.0833333333333333,1.7083333333333333
South Africa,1.0909090909090908,1.7272727272727273
Turkey,1.8181818181818181,1.7272727272727273
IR Iran,0.3333333333333333,1.6666666666666667
Sweden,1.6346153846153846,1.4230769230769231
Germany,2.1636363636363636,1.018181818181818
Hungary,2.71875,1.78125
Poland,1.2894736842105263,1.3157894736842106
Australia,0.9047619047619048,1.7619047619047619
Ecuador,1.0,1.0714285714285714
Switzerland,1.3636363636363635,1.7272727272727273
Haiti,0.5,3.75
Ghana,1.1875,1.4375
Argentina,1.6881720430107527,1.096774193548387
Portugal,1.7222222222222223,1.1666666666666667
New Zealand,0.8571428571428571,2.2857142857142856
Saudi Arabia,0.75,2.25
Korea DPR,0.8571428571428571,3.0
United States,1.4,1.0
Ukraine,1.0,1.4
Peru,1.1666666666666667,1.8333333333333333
Iran,1.0,1.7692307692307692
USA,1.1176470588235294,1.8823529411764706
"rn"">United Arab Emirates",0.6666666666666666,3.6666666666666665
Iraq,0.5,2.0
Jordan,1.0,3.0
Israel,0.3333333333333333,1.0
El Salvador,0.16666666666666666,3.6666666666666665
Czechoslovakia,1.4666666666666666,1.5
Egypt,0.75,1.625
England,1.44,0.9333333333333333
Zaire,0.0,4.666666666666667
Croatia,1.4516129032258065,1.1935483870967742
Austria,1.5333333333333334,1.6
Slovakia,1.25,1.75
"rn"">Republic of Ireland",0.7692307692307693,0.7692307692307693
Greece,0.5454545454545454,1.9090909090909092
France,1.855263157894737,1.144736842105263
"rn"">Bosnia and Herzegovina",1.3333333333333333,1.3333333333333333
Uzbekistan,1.0,3.0
Colombia,1.52,1.32
Ivory Coast,1.0,0.0
Morocco,0.875,1.1666666666666667
Honduras,0.3333333333333333,1.5555555555555556
Algeria,0.9333333333333333,1.6
South Korea,1.1111111111111112,1.4444444444444444
Spain,1.588235294117647,1.1029411764705883
Kuwait,0.6666666666666666,2.0
Northern Ireland,1.0,1.7692307692307692
Cameroon,0.8461538461538461,1.8076923076923077
Germany FR,2.1129032258064515,1.2419354838709677
Japan,1.0384615384615385,1.3461538461538463
Jamaica,1.0,3.0
Italy,1.5421686746987953,0.927710843373494
Cuba,1.6666666666666667,4.0
Uruguay,1.4754098360655739,1.2950819672131149
Paraguay,1.1071428571428572,1.5
Brazil,2.033613445378151,1.0168067226890756
"rn"">Trinidad and Tobago",0.0,1.3333333333333333
Serbia,1.0,1.6666666666666667
Bosnia and Herzegovina,1.0,2.5
Denmark,1.3478260869565217,1.2608695652173914
Dutch East Indies,0.0,6.0
Panama,0.5,3.0
Korea Republic,1.0,2.161290322580645
Russia,1.7142857142857142,1.4285714285714286
Chile,1.2058823529411764,1.4705882352941178
Bulgaria,0.8461538461538461,2.0384615384615383
Yugoslavia,1.6216216216216217,1.2432432432432432
Norway,1.2222222222222223,1.0
Cape Verde,0.0,0.0
C�te d'Ivoire,1.4444444444444444,1.5555555555555556
Angola,0.3333333333333333,0.6666666666666666
DR Congo,1.0,1.0
Wales,0.625,1.25
Mexico,1.0476190476190477,1.6349206349206349
Belgium,1.3333333333333333,1.4259259259259258
German DR,0.8333333333333334,0.8333333333333334
Tunisia,0.7894736842105263,1.631578947368421
Curaçao,1.0,7.0
Netherlands,1.7166666666666666,0.9166666666666666
Nigeria,1.0454545454545454,1.4545454545454546
Czech Republic,1.0,1.4
Romania,1.4285714285714286,1.5238095238095237
Qatar,0.4,2.8
Canada,1.125,1.625
"rn"">Serbia and Montenegro",0.6666666666666666,3.3333333333333335
Costa Rica,1.0,1.7391304347826086
Bolivia,0.16666666666666666,3.3333333333333335
